top,lat,lon,humidity,temp,accel,dust
$data,50.841331,4.322433,43.20,24.70,0.00,221
$data,50.841350,4.322436,44.10,24.70,0.05,204
$data,50.841358,4.322447,44.10,24.70,0.20,187
$data,50.841373,4.322468,44.10,24.70,0.00,166
$data,50.841388,4.322495,47.50,24.70,0.15,142
$data,50.841407,4.322528,47.50,24.70,0.60,81
$data,50.841415,4.322558,45.90,24.80,0.70,180
$data,50.841430,4.322587,45.90,24.80,8.25,756
$data,50.841438,4.322614,41.60,24.70,0.00,177
$data,50.841445,4.322635,41.60,24.70,0.00,153
$data,50.841445,4.322658,40.00,24.70,0.00,151
$data,50.841453,4.322680,40.00,24.70,0.00,145
$data,50.841453,4.322700,39.70,24.80,0.00,169
$data,50.841464,4.322708,39.70,24.80,0.00,149
$data,50.841464,4.322725,39.90,24.80,0.00,159
$data,50.841472,4.322748,39.90,24.80,0.00,178
$data,50.841480,4.322768,40.10,24.80,0.00,145
$data,50.841480,4.322789,40.10,24.80,0.00,166
$data,50.841487,4.322813,40.00,24.80,0.00,144
$data,50.841495,4.322833,40.00,24.80,0.00,161
$data,50.841503,4.322848,39.90,24.80,0.00,186
$data,50.841503,4.322846,39.90,24.80,0.00,197
$data,50.841510,4.322853,40.10,24.80,0.00,180
$data,50.841510,4.322853,40.10,24.80,0.50,132
$data,50.841510,4.322855,40.20,24.80,0.00,165
$data,50.841518,4.322867,40.20,24.80,0.00,167
$data,50.841529,4.322880,40.30,24.80,0.00,185
$data,50.841529,4.322890,40.30,24.80,0.00,180
$data,50.841537,4.322898,40.40,24.80,0.00,199
$data,50.841552,4.322885,40.40,24.80,0.00,137
$data,50.841537,4.322856,40.50,24.80,0.00,127
$data,50.841529,4.322818,40.50,24.80,0.00,172
$data,50.841529,4.322792,40.50,24.80,0.00,162
$data,50.841518,4.322760,40.50,24.80,0.00,159
$data,50.841510,4.322733,40.50,24.80,0.15,153
$data,50.841510,4.322725,40.50,24.80,0.00,176
$data,50.841510,4.322723,40.50,24.80,0.00,131
$data,50.841510,4.322717,40.50,24.80,0.00,138
$data,50.841503,4.322723,41.80,24.80,0.00,164
$data,50.841503,4.322729,41.80,24.80,0.00,159
$data,50.841503,4.322730,41.90,24.90,0.00,152
$data,50.841503,4.322730,41.90,24.90,0.00,159
$data,50.841503,4.322733,41.30,24.90,0.00,147
$data,50.841495,4.322735,41.30,24.90,0.00,152
$data,50.841495,4.322729,40.50,24.90,0.00,166
$data,50.841495,4.322717,40.50,24.90,0.00,152
$data,50.841487,4.322710,40.20,24.90,0.00,137
$data,50.841487,4.322688,40.20,24.90,0.00,182
$data,50.841480,4.322671,40.10,24.90,0.00,170
$data,50.841480,4.322660,40.10,24.90,0.00,173
$data,50.841480,4.322650,40.20,24.90,0.00,176
$data,50.841472,4.322640,40.20,24.90,0.00,168
$data,50.841453,4.322635,40.00,24.90,0.00,163
$data,50.841445,4.322625,40.00,24.90,0.00,146
$data,50.841438,4.322620,39.90,24.90,0.00,144
$data,50.841438,4.322617,39.90,24.90,0.00,165
$data,50.841430,4.322615,39.90,24.90,0.00,155
$data,50.841438,4.322607,39.90,24.90,0.00,147
$data,50.841430,4.322615,40.00,25.00,0.00,156
$data,50.841415,4.322608,40.00,25.00,0.00,152
$data,50.841407,4.322597,40.00,25.00,0.00,159
$data,50.841396,4.322581,40.00,25.00,0.00,146
$data,50.841388,4.322576,40.00,25.00,0.00,144
$data,50.841388,4.322572,40.00,25.00,0.00,167
$data,50.841396,4.322565,40.00,25.00,0.00,177
$data,50.841396,4.322558,40.00,25.00,0.15,313
$data,50.841396,4.322551,39.80,25.00,0.10,163
$data,50.841396,4.322543,39.80,25.00,0.00,146
$data,50.841388,4.322537,39.70,25.00,0.00,288
$data,50.841388,4.322530,39.70,25.00,0.30,756
$data,50.841388,4.322522,39.80,25.00,0.00,150
$data,50.841991,4.322991,40.30,25.20,0.75,0
$data,50.841983,4.322998,40.30,25.20,0.00,162
$data,50.841976,4.323003,40.10,25.20,0.30,199
$data,50.841983,4.322998,40.50,25.20,0.00,245
$data,50.841983,4.322997,40.50,25.20,0.05,178
$data,50.841983,4.323000,40.20,25.20,0.20,112
$data,50.841983,4.323000,40.00,25.20,0.10,252
$data,50.841983,4.323003,40.00,25.20,0.05,151
$data,50.841983,4.323005,40.10,25.20,0.25,501
$data,50.841976,4.323007,40.10,25.20,0.60,83
$data,50.841976,4.323003,39.80,25.30,0.10,179
$data,50.841976,4.322991,39.80,25.30,0.15,187
$data,50.841976,4.322973,39.70,25.30,0.05,147
$data,50.841976,4.322963,39.70,25.30,2.00,235
$data,50.841960,4.322947,39.60,25.30,0.05,158
$data,50.841968,4.322945,39.60,25.30,0.05,163
$data,50.841968,4.322945,39.60,25.30,0.05,184
$data,50.841960,4.322942,39.50,25.30,1.00,174
$data,50.841960,4.322942,39.50,25.30,0.15,164
