top,lat,lon,humidity,temp,accel,dust
$data,50.841087,4.322644,26.60,27.50,0.00,173
$data,50.841098,4.322677,26.70,27.40,0.00,146
$data,50.841098,4.322680,26.70,27.40,0.00,195
$data,50.841098,4.322683,26.70,27.40,0.00,156
$data,50.841087,4.322687,26.70,27.40,0.00,155
$data,50.841072,4.322655,26.60,27.40,0.00,177
$data,50.841056,4.322637,26.60,27.40,0.00,161
$data,50.841030,4.322620,26.50,27.40,0.00,174
$data,50.841007,4.322615,26.50,27.40,0.00,156
$data,50.840991,4.322617,26.50,27.40,0.00,192
$data,50.840976,4.322614,26.50,27.40,0.00,173
$data,50.840957,4.322598,26.40,27.40,0.00,207
$data,50.840957,4.322595,26.40,27.40,0.00,162
$data,50.840950,4.322592,26.40,27.40,0.00,185
$data,50.840950,4.322595,26.40,27.40,0.00,162
$data,50.840942,4.322602,26.20,27.40,0.00,193
$data,50.840934,4.322607,26.20,27.40,0.00,199
$data,50.840908,4.322648,26.00,27.40,0.00,224
$data,50.840900,4.322671,26.00,27.40,0.00,181
$data,50.840885,4.322703,25.90,27.30,0.00,170
$data,50.840885,4.322740,25.90,27.30,0.00,155
$data,50.840885,4.322772,26.10,27.30,0.00,209
$data,50.840900,4.322812,26.10,27.30,0.00,142
$data,50.840908,4.322828,26.20,27.30,0.00,187
$data,50.840919,4.322846,26.20,27.30,0.00,166
$data,50.840919,4.322860,26.30,27.30,0.00,199
$data,50.840919,4.322874,26.30,27.30,0.00,160
$data,50.840919,4.322885,26.30,27.20,0.00,179
$data,50.840908,4.322893,26.30,27.20,0.00,150
$data,50.840900,4.322904,26.40,27.20,0.00,195
$data,50.840892,4.322918,26.40,27.20,0.00,184
$data,50.840885,4.322938,26.40,27.20,0.00,184
$data,50.840885,4.322952,26.40,27.20,0.00,133
$data,50.840900,4.322972,26.50,27.20,0.00,187
$data,50.840900,4.322988,26.50,27.20,0.00,167
$data,50.840892,4.323003,26.60,27.20,0.00,208
$data,50.840892,4.323020,26.60,27.20,0.00,176
$data,50.840900,4.323035,26.70,27.20,0.00,187
$data,50.840900,4.323049,26.70,27.20,0.00,165
$data,50.840892,4.323063,26.60,27.10,0.00,191
$data,50.840900,4.323080,26.60,27.10,0.00,186
$data,50.840900,4.323097,26.30,27.10,0.00,181
$data,50.840900,4.323115,26.30,27.10,0.00,160
$data,50.840908,4.323132,26.10,27.10,0.00,150
$data,50.840919,4.323150,26.10,27.10,0.00,180
$data,50.840919,4.323166,26.00,27.10,0.00,206
$data,50.840927,4.323183,26.00,27.10,0.00,174
$data,50.840934,4.323198,25.90,27.00,0.00,186
$data,50.840950,4.323100,25.90,27.00,0.00,151
$data,50.840965,4.323060,26.00,27.00,0.00,173
$data,50.840976,4.323040,26.00,27.00,0.00,176
$data,50.841030,4.323031,26.00,27.00,0.00,165
$data,50.841079,4.323033,26.00,27.00,0.00,164
$data,50.841106,4.322988,26.00,27.00,0.00,191
$data,50.841129,4.322940,26.00,27.00,0.00,168
$data,50.841152,4.322882,26.10,27.00,0.00,216
$data,50.841194,4.322871,26.10,27.00,0.00,189
$data,50.841243,4.322846,26.10,26.90,0.00,181
$data,50.841293,4.322827,26.10,26.90,0.00,157
$data,50.841342,4.322815,26.20,26.90,0.00,231
$data,50.841381,4.322805,26.20,26.90,0.00,162
$data,50.841407,4.322778,26.20,26.90,0.00,190
$data,50.841423,4.322750,26.20,26.90,0.00,193
$data,50.841445,4.322729,26.30,26.90,0.00,200
$data,50.841453,4.322730,26.30,26.90,0.00,153
$data,50.841464,4.322720,26.30,26.90,0.00,186
$data,50.841480,4.322707,26.30,26.90,0.00,178
$data,50.841495,4.322695,26.70,26.90,0.00,179
$data,50.841503,4.322677,26.70,26.90,0.00,178
$data,50.841510,4.322653,26.60,26.90,0.00,185
$data,50.841510,4.322627,26.60,26.90,0.00,167
$data,50.841518,4.322608,26.60,26.90,0.00,179
$data,50.841529,4.322595,26.60,26.90,0.00,142
$data,50.841529,4.322580,26.70,26.80,0.00,164
$data,50.841537,4.322563,26.70,26.80,0.00,164
$data,50.841529,4.322570,26.70,26.80,0.00,170
$data,50.841518,4.322568,27.10,26.80,0.00,178
$data,50.841518,4.322562,27.10,26.80,0.00,136
$data,50.841510,4.322550,27.20,26.80,0.00,153
