name,lat,lon,noise
$data,50.842487,4.322507,0.00
$data,50.842506,4.322508,0.05
$data,50.842506,4.322495,0.00
$data,50.842506,4.322495,0.10
$data,50.842506,4.322495,0.05
$data,50.842529,4.322532,0.00
$data,50.842552,4.322578,0.10
$data,50.842586,4.322615,0.00
$data,50.842609,4.322658,0.00
$data,50.842658,4.322713,0.00
$data,50.842685,4.322748,0.15
$data,50.842723,4.322793,0.20
$data,50.842739,4.322816,0.05
$data,50.842796,4.322871,0.00
$data,50.842823,4.322890,0.05
$data,50.842880,4.322940,0.15
$data,50.842975,4.323033,0.05
$data,50.843074,4.323160,0.00
$data,50.843124,4.323250,0.05
$data,50.843219,4.323393,0.00
$data,50.843227,4.323405,0.10
$data,50.843238,4.323418,0.15
$data,50.843296,4.323520,0.10
$data,50.843303,4.323532,0.05
$data,50.843360,4.323616,0.05
$data,50.843406,4.323683,0.05
$data,50.843498,4.323789,0.15
$data,50.843540,4.323838,0.00
$data,50.843593,4.323908,0.05
$data,50.843620,4.323936,0.05
$data,50.843669,4.324000,0.15
$data,50.843700,4.324015,0.05
$data,50.843742,4.324059,0.05
$data,50.843750,4.324073,0.10
$data,50.843784,4.324132,0.10
$data,50.843994,4.324488,0.05
$data,50.844001,4.324490,0.00
$data,50.844181,4.324858,0.00
$data,50.844287,4.325055,0.15
$data,50.844318,4.325132,0.10
$data,50.844337,4.325295,0.05
$data,50.844326,4.325333,0.05
$data,50.844310,4.325469,0.00
$data,50.844303,4.325496,0.05
$data,50.844326,4.325515,0.10
$data,50.844383,4.325555,0.10
$data,50.844383,4.325603,0.05
$data,50.844383,4.325620,0.20
$data,50.844402,4.325525,0.25
$data,50.844417,4.325515,0.05
$data,50.844497,4.325398,0.15
$data,50.844596,4.325217,0.10
$data,50.844627,4.325177,0.10
$data,50.844711,4.324992,0.05
$data,50.844726,4.324975,0.15
$data,50.844734,4.324972,0.05
$data,50.844783,4.324934,0.10
$data,50.844921,4.324745,0.00
$data,50.844970,4.324730,0.15
$data,50.844985,4.324718,0.05
$data,50.844993,4.324704,0.05
$data,50.844993,4.324692,0.20
$data,50.845005,4.324674,0.15
$data,50.845005,4.324614,0.15
$data,50.845005,4.324616,0.00
$data,50.844993,4.324622,0.10
$data,50.845027,4.324641,0.15
$data,50.845069,4.324671,0.10
$data,50.845100,4.324682,0.15
$data,50.845108,4.324682,0.10
$data,50.845100,4.324680,0.10
$data,50.845092,4.324680,0.05
$data,50.845085,4.324688,0.05
$data,50.845085,4.324682,0.10
$data,50.845085,4.324683,0.15
$data,50.845077,4.324687,0.30
$data,50.845069,4.324682,0.10
$data,50.845058,4.324676,0.05
$data,50.845058,4.324663,0.05
$data,50.845058,4.324650,0.00
$data,50.845077,4.324662,0.15
$data,0.000000,4.324665,0.10
$data,50.845069,4.324667,0.15
$data,50.845069,4.324667,0.10
$data,50.845069,4.324668,0.15
$data,50.845077,4.324668,0.10
$data,50.845077,4.324674,0.05
$data,50.844993,4.324789,0.05
$data,50.844970,4.324789,0.05
$data,50.844955,4.324807,0.10
$data,50.844856,4.324935,0.05
$data,50.844799,4.324994,0.20
$data,50.844806,4.325012,0.10
$data,50.844806,4.325018,0.05
$data,50.844783,4.325013,0.00
$data,50.844776,4.325003,0.00
$data,50.844776,4.325002,0.00
$data,50.844776,4.325002,0.05
$data,50.844776,4.325002,0.10
$data,50.844768,4.325018,0.05
$data,50.844776,4.325018,0.15
$data,50.844768,4.325020,0.25
$data,50.844749,4.325045,0.35
$data,50.844692,4.325088,0.90
$data,50.844684,4.325098,0.90
$data,50.844676,4.325105,0.95
$data,50.844661,4.325133,0.05
$data,50.844654,4.325158,0.25
$data,0.000000,4.325170,0.20
$data,50.844589,4.325280,0.05
$data,50.844596,4.325348,0.00
$data,50.844539,4.325388,0.05
$data,50.844367,4.325121,0.10
$data,50.844326,4.325043,0.00
$data,50.844295,4.324982,0.10
$data,50.844150,4.324780,0.15
$data,50.843944,4.324477,0.00
$data,50.843879,4.324397,0.00
$data,50.843849,4.324365,0.00
$data,50.843837,4.324332,0.00
$data,50.843830,4.324307,0.00
$data,50.843799,4.324282,0.40
$data,50.843772,4.324256,0.70
$data,50.843765,4.324250,0.15
$data,50.843650,4.324075,0.15
$data,50.843593,4.323976,0.00
$data,50.843570,4.323950,0.10
$data,50.843513,4.323862,0.05
$data,50.843498,4.323832,0.05
$data,50.843448,4.323778,0.20
$data,50.843383,4.323712,0.35
$data,50.843204,4.323470,0.00
$data,50.843116,4.323347,0.05
$data,50.843040,4.323264,0.00
$data,50.842975,4.323176,0.10
$data,50.842887,4.323073,0.05
$data,50.842845,4.323019,0.20
$data,50.842750,4.322898,0.10
$data,50.842731,4.322885,0.10
$data,50.842708,4.322850,0.00
$data,50.842685,4.322822,0.00
$data,50.842617,4.322790,0.05
$data,50.842506,4.322798,0.15
$data,50.842494,4.322786,0.10
$data,50.842384,4.322733,0.20
$data,50.842372,4.322731,0.05
$data,50.842365,4.322738,0.05
$data,50.842399,4.322717,0.00
